cell_type,gene,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier
DC,CTSH,4185,1.53e-06,0.22,1.42e-06,0.204,0.575,Tier 2 (Moderate)
DC,HCG11,3785,1.32e-28,6.73e-18,5.48e-13,0.027,0.973,Tier 1 (Strong)
DC,MICA,8569,4.71e-37,2.87e-26,1.64e-11,0.998,0.00166,Not colocalized
DC,THEMIS2,1924,1.21e-12,0.199,1.26e-13,0.0198,0.781,Tier 2 (Moderate)
DC,HLA-A,7289,4.42e-37,9.75e-28,4.54e-10,1,2.32e-11,Not colocalized
DC,KANSL1-AS1,3347,2.33e-15,0.177,7.6e-15,0.578,0.245,Not colocalized
DC,HLA-DQA1,7618,7.03e-34,4.28e-18,1.64e-16,1,2.02e-13,Not colocalized
DC,AGER,10548,1.16e-44,6.24e-24,1.85e-21,1,3.2e-07,Not colocalized
DC,ZBTB22,7988,1.5e-24,2.54e-15,1.21e-11,0.0195,0.98,Tier 1 (Strong)
DC,HLA-DRB1,7533,3.27e-35,1.08e-20,3.03e-15,1,2.53e-12,Not colocalized
DC,HIST1H2BN,3322,4.09e-27,1.09e-20,1.43e-07,0.38,0.62,Tier 2 (Moderate)
Plasma,HIST1H2BN,3322,1.79e-27,2.29e-21,6.25e-08,0.079,0.921,Tier 1 (Strong)
Plasma,HLA-C,8205,8.3e-29,2.86e-26,0.00289,0.997,0.00025,Not colocalized
Plasma,CCHCR1,8249,6.07e-61,2.87e-26,2.11e-35,1,7.79e-17,Not colocalized
Plasma,RPP21,9670,4.37e-58,9.43e-28,4.63e-31,1,1.77e-25,Not colocalized
Plasma,APOM,9043,9.18e-37,2.79e-26,3.2e-11,0.971,0.0293,Not colocalized
Plasma,NFKBIL1,8498,7.95e-32,2.87e-26,2.77e-06,1,5.75e-06,Not colocalized
Plasma,EHMT2,10459,1.18e-28,2.38e-26,0.00393,0.792,0.204,Not colocalized
Plasma,DXO,10351,1.04e-27,6.66e-25,0.000174,0.11,0.889,Tier 1 (Strong)
Plasma,CTSH,4185,5.16e-08,0.0724,4.79e-08,0.0664,0.861,Tier 1 (Strong)
Plasma,VARS2,9414,6.32e-48,9.43e-28,6.71e-21,1,1.55e-06,Not colocalized
Plasma,KANSL1-AS1,3347,3.53e-08,0.177,1.15e-07,0.578,0.244,Not colocalized
Plasma,DDX39B,8514,2.4e-31,2.86e-26,8.35e-06,0.996,0.00422,Not colocalized
Plasma,C6orf136,11101,1.11e-30,1.05e-27,0.00106,0.999,4e-04,Not colocalized
Plasma,HLA-A,7289,2.94e-29,9.44e-28,0.0302,0.968,0.0013,Not colocalized
Plasma,RXRB,8306,1.1e-15,3.46e-14,0.0244,0.769,0.207,Not colocalized
Plasma,ZBTB22,7988,3.17e-21,1.24e-13,2.57e-08,1,0.000138,Not colocalized
Plasma,AIF1,8774,6.72e-30,2.86e-26,0.000234,0.997,0.003,Not colocalized
