id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
Mono C|SNHG8,SNHG8,Mono C,Wald ratio,1,0.0563205720970915,0.058708698148415,0.337396329483486,0.822686108645022,1.05793677439256,0.942943912098678,1.18695312017139
Mono C|ZFAS1,ZFAS1,Mono C,Wald ratio,1,0.0538077169477985,0.0841200407369076,0.522397595124987,0.896122798099973,1.05528166986507,0.894878286317465,1.24443672372016
Mono C|YBEY,YBEY,Mono C,Wald ratio,1,0.00541428912569629,0.143766855572828,0.969958605988239,0.996584920662426,1.0054289728778,0.758533171748082,1.33268716142295
Mono C|HIST1H3D,HIST1H3D,Mono C,Wald ratio,1,1.78913540435804,0.198683033663846,2.15718385903761e-19,2.77801406118098e-17,5.98427624987252,4.05405112266946,8.83352507188109
Mono C|ADK,ADK,Mono C,Wald ratio,1,0.0917164949885434,0.113816302858135,0.420341365683257,0.858063733950054,1.09605404121542,0.876898999969276,1.36998042112803
Mono C|KDELR2,KDELR2,Mono C,Wald ratio,1,0.0442062411882792,0.130913061066408,0.735607118729328,0.950534504779836,1.04519789551696,0.808654633508611,1.35093350798373
Mono C|RPS3A,RPS3A,Mono C,Wald ratio,1,0.209215306700781,0.171396779543517,0.222218947151096,0.752514706108898,1.23271038076504,0.880978214761668,1.72487225834182
Mono C|RP11-362F19.1,RP11-362F19.1,Mono C,Wald ratio,1,-0.0311491958988917,0.102890592681828,0.762087286804153,0.958881461888935,0.969330942085891,0.792300327580992,1.18591706020603
Mono C|CAST,CAST,Mono C,Wald ratio,1,0.184250127632136,0.107090188052769,0.0853391191937057,0.57184298007503,1.20231651807242,0.974679440565317,1.48311839715358
Mono C|SNHG7,SNHG7,Mono C,Wald ratio,1,-0.176183802469054,0.143138878106277,0.218375536101982,0.749082313003548,0.838463857445937,0.633347519486503,1.11000930549646
Mono C|CHCHD2,CHCHD2,Mono C,Wald ratio,1,-0.237164360190001,0.121418854461786,0.0507870696454649,0.474716189872512,0.788861619916031,0.621794693844077,1.00081692805921
Mono C|LY96,LY96,Mono C,Wald ratio,1,-0.162940568501383,0.177609475829578,0.35892824956984,0.837371393994929,0.849641682392581,0.599862305385438,1.2034278233153
Mono C|CTSB,CTSB,Mono C,Wald ratio,1,0.192671976935422,0.0935045830705023,0.0393448592452345,0.434509070560017,1.21248500523365,1.00944734115575,1.45636114731181
Mono C|STXBP2,STXBP2,Mono C,Wald ratio,1,-0.0234416490947421,0.0540493583621064,0.664500362425424,0.92929634054634,0.976830971977404,0.87864143219981,1.08599334477699
Mono C|CFD,CFD,Mono C,Wald ratio,1,0.149174449151106,0.0647735650075928,0.0212780362033567,0.293946398314735,1.16087548528889,1.02246692552437,1.31802003439238
Mono C|MRPL21,MRPL21,Mono C,Wald ratio,1,0.330817730073646,0.116646036004847,0.00456707098007235,0.0863199136979845,1.3921060301187,1.10759555541998,1.74969932807108
Mono C|AC000003.2,AC000003.2,Mono C,Wald ratio,1,-0.12160100116853,0.0751899158682406,0.105824012498874,0.602736766841413,0.885501612134549,0.764163707245439,1.02610618334566
Mono C|NME1,NME1,Mono C,Wald ratio,1,0.0737166004518076,0.112142406996227,0.51095710185646,0.890290126463625,1.076501682172,0.864086398200066,1.34113425941329
Mono C|NT5C3B,NT5C3B,Mono C,Wald ratio,1,0.0352246589331244,0.0785256703395925,0.653738213141725,0.928315855184201,1.03585239615519,0.888086922633021,1.20820401615557
Mono C|CCL3L3,CCL3L3,Mono C,Wald ratio,1,0.0809887552369355,0.113625969060865,0.475990416748593,0.876232535746573,1.08435870314151,0.867865835102962,1.35485664894187
Mono C|SNORD3D,SNORD3D,Mono C,Wald ratio,1,0.298304569902977,0.116393823671451,0.0103804922578867,0.169980560722894,1.34757215530419,1.07269339313842,1.69288887707063
Mono C|CEACAM21,CEACAM21,Mono C,Wald ratio,1,0.0641953527933263,0.0983880517934022,0.514097360199388,0.892662752238765,1.06630068323336,0.879285855584438,1.29309159227656
Mono C|ZNF506,ZNF506,Mono C,Wald ratio,1,0.197033795567259,0.177500008962099,0.266977698245545,0.785053284210781,1.21778519575197,0.859962735060464,1.72449423972817
Mono C|PPDPF,PPDPF,Mono C,Wald ratio,1,0.0694961272846632,0.088510324928684,0.432350753144203,0.859947911620328,1.07196790977017,0.901239618387482,1.27503848713735
Mono C|CDA,CDA,Mono C,Wald ratio,1,0.0959684867200691,0.108650523536302,0.377086735649825,0.849779056857577,1.10072437601203,0.889597167584595,1.36195819422037
Mono C|FCGR1A,FCGR1A,Mono C,Wald ratio,1,0.139933614464728,0.180249353883741,0.437552089237232,0.862299273271022,1.15019743984998,0.807869196450166,1.6375845946975
Mono C|ANP32E,ANP32E,Mono C,Wald ratio,1,-0.345642881713439,0.18668868341972,0.064106290055689,0.520461173469595,0.707765197874751,0.490881413258911,1.02047370666787
Mono C|UAP1L1,UAP1L1,Mono C,Wald ratio,1,0.014618314243561,0.109472818439873,0.893771287091859,0.980311388381588,1.01472568435125,0.818772992570121,1.25757471707755
