gene,cell_type,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier,b,se,pval,fdr,or,or_lci,or_uci
MDC1,DC,10950,2.9e-41,1.03e-27,2.81e-14,1,1.29e-14,Not colocalized,-0.270029619045682,0.0738946164647213,0.000257931900555553,0.00739534558649468,0.763356884099586,0.660430709062777,0.882323799462873
MDH1,CD4 NC,2443,1.56e-08,0.294,8.22e-09,0.154,0.552,Tier 2 (Moderate),0.363443498076638,0.11536687941732,0.00163087314001941,0.0361175596163262,1.43827358938528,1.14720025646287,1.80319949047203
MDH1,CD8 NC,2443,0.000115,0.251,6.04e-05,0.132,0.617,Tier 2 (Moderate),0.482110333386972,0.149848450750173,0.00129394444416053,0.030250430420713,1.61948845909176,1.2073252431689,2.17235818100465
MED16,B Mem,3266,1.07e-08,0.023,1.78e-08,0.0374,0.94,Tier 1 (Strong),0.413012322174459,0.109571616224217,0.000163681911665911,0.00493513954300632,1.51136364910581,1.21926955542345,1.87343321226874
MED16,CD4 NC,3266,1.36e-93,0.00401,2.25e-93,0.00568,0.99,Tier 1 (Strong),0.19195348157301,0.0427514813747687,7.12284124788977e-06,0.000284838672639297,1.21161415326941,1.11422665139654,1.31751368050905
MED16,CD8 ET,3266,1.03e-47,0.0517,1.71e-47,0.085,0.863,Tier 1 (Strong),0.204942380384057,0.054370939184797,0.00016368191166591,0.00493513954300632,1.22745433747804,1.10337684840138,1.36548465084847
MED16,CD8 NC,3266,1.26e-34,0.0134,2.1e-34,0.0213,0.965,Tier 1 (Strong),0.237204206163053,0.0621963314367127,0.0001368476762398,0.00424480824707939,1.26769996349089,1.12220937289185,1.4320529094259
MED16,CD8 S100B,3266,6.8e-07,0.0132,1.13e-06,0.021,0.966,Tier 1 (Strong),0.567668471974895,0.124031674513447,4.72136919356768e-06,0.000192865393186705,1.7641490896845,1.38343064644577,2.24964078873807
MED16,NK,3266,8.35e-61,0.00317,1.39e-60,0.00428,0.993,Tier 1 (Strong),0.224671816208569,0.049089253597932,4.72136919356768e-06,0.000192865393186705,1.25191179160785,1.13707238871368,1.37834947847057
MICA,CD4 NC,8569,2.17e-29,2.87e-26,0.000756,0.999,0.000108,Not colocalized,-0.536219424291375,0.166611576095854,0.00128916739174554,0.0302317711187734,0.584955546052566,0.421988121503084,0.810859295372737
MICA,CD4 SOX4,8569,7.54e-45,2.87e-26,2.62e-19,1,1.01e-20,Not colocalized,0.23036008379801,0.0643384597238292,0.000343014287662387,0.00965267613947709,1.25905329300628,1.1098853289543,1.42826934754015
MICA,DC,8569,4.71e-37,2.87e-26,1.64e-11,0.998,0.00166,Not colocalized,-1.09496777928888,0.130449995873909,4.70780826671188e-17,4.58588810390729e-15,0.334550386226298,0.259071868504298,0.432018966668735
MICA,NK R,8569,3.99e-36,2.75e-26,1.39e-10,0.957,0.0431,Not colocalized,0.322538623470475,0.0866845066774594,0.000198566262893138,0.00580271717485408,1.38062821448287,1.16490203153968,1.63630435437286
MICB,DC,8567,2.31e-36,2.87e-26,8.06e-11,1,3.05e-12,Not colocalized,-0.386953037020676,0.101274604961796,0.000133003373542041,0.00424480824707939,0.679122987816573,0.556854517406722,0.828237929592025
MPV17L2,CD4 NC,3873,0.000188,0.4,4.58e-05,0.0969,0.503,Tier 2 (Moderate),-0.353658927250984,0.113615341386486,0.00185337626031032,0.0397795277566041,0.702114398609392,0.561948541544603,0.87724158404191
MSH5,B IN,10204,2.63e-31,2.93e-26,8.97e-06,1,3.73e-06,Not colocalized,-0.50202335096021,0.104687867874528,1.62326180515991e-06,6.85196844200276e-05,0.605304676035792,0.493017025035925,0.743166528182462
MSH5,CD4 ET,10204,4.06e-42,2.93e-26,1.38e-16,1,2.1e-10,Not colocalized,0.248009766030223,0.0727371491881798,0.000650412307544813,0.01727913535918,1.28147244703156,1.11120493503172,1.47782967905391
NEU1,CD4 SOX4,10356,1.02e-30,2.97e-26,3.42e-05,1,2.36e-06,Not colocalized,0.435170591777825,0.115010789680101,0.000154491011520429,0.00474055501240349,1.54522663942793,1.23336899324358,1.93593756635503
NFKBIL1,Plasma,8498,7.95e-32,2.87e-26,2.77e-06,1,5.75e-06,Not colocalized,-0.717537303173404,0.086396227427882,9.96577128689891e-17,9.46499127973224e-15,0.487952456454448,0.411941508681006,0.577988852160817
NKAPL,Mono C,3638,2.97e-28,1.4e-20,1.86e-08,0.877,0.123,Not colocalized,-0.867968320732972,0.124764334633575,3.4793424201598e-12,2.16688882855526e-10,0.41980358966748,0.328733983320461,0.536102328446836
NOTCH4,CD8 ET,10482,3.65e-27,6.2e-24,0.000588,0.999,3.39e-05,Not colocalized,0.578803881587585,0.131500099716262,1.07481733023154e-05,0.000392618368995157,1.78390339443045,1.3785933753939,2.30837560767416
NOTCH4,CD8 NC,10482,1.55e-49,6.21e-24,2.5e-26,1,9.2e-20,Not colocalized,0.410589591505338,0.101893368993188,5.58716766097934e-05,0.00188672443947204,1.50770645402913,1.23476243132813,1.84098470592113
ORMDL3,B IN,2449,1.46e-50,1.46e-05,7.24e-46,0.722,0.278,Not colocalized,-0.245435181092588,0.0567083293302983,1.50451021829445e-05,0.000539210784839679,0.782363994130296,0.700064009077498,0.874339219520927
ORMDL3,B Mem,2449,8.4e-36,2.76e-06,4.16e-31,0.136,0.864,Tier 1 (Strong),-0.323513921313627,0.0540901511977011,2.21753573626002e-09,1.08702171123249e-07,0.723601884363491,0.650814503874884,0.804529837514276
ORMDL3,CD4 ET,2449,4.18e-19,4.31e-06,2.07e-14,0.213,0.787,Tier 2 (Moderate),-0.429730576628154,0.0748912141198291,9.57649526076327e-09,4.63453573192862e-07,0.650684380689041,0.561851692477466,0.753562139157677
ORMDL3,CD8 S100B,2449,2.51e-18,5.84e-06,1.24e-13,0.289,0.711,Tier 2 (Moderate),-0.383930931946772,0.0937722139088484,4.23458287167823e-05,0.00145585342348467,0.681178473225886,0.566813773383255,0.818618273188308
PGBD1,B IN,3693,5.95e-31,1.99e-21,3.74e-11,0.124,0.876,Tier 1 (Strong),-1.50400165064613,0.146626788302232,1.09680146173115e-24,3.96833214582538e-22,0.222239055333101,0.166728230285697,0.296231763695427
PGBD1,CD8 ET,3693,4e-27,2.71e-21,2.51e-07,0.169,0.831,Tier 1 (Strong),2.04356581807832,0.197936451485923,5.46861768112505e-25,2.18687142848359e-22,7.71808146363353,5.23627502874208,11.3761750771891
PNMT,CD8 ET,2305,5.59e-28,2.01e-05,2.77e-23,0.995,0.00544,Not colocalized,0.353510696387864,0.0784610762720696,6.61996817403962e-06,0.000267121976813497,1.42405821914896,1.22106934471542,1.66079168255454
