id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
CD4 ET|EEF1D,EEF1D,CD4 ET,Wald ratio,1,0.425102331920104,0.130597902801286,0.00113373540153849,0.0271738851132159,1.52974695359707,1.18427460850628,1.97599925324
CD4 ET|HIST1H2BG,HIST1H2BG,CD4 ET,Wald ratio,1,-1.50580357130837,0.226508955252836,2.97351537301863e-11,1.625379122604e-09,0.221838958766731,0.142308061563528,0.345816836277671
CD4 ET|HIST1H4B,HIST1H4B,CD4 ET,Wald ratio,1,-1.67717706583466,0.181478278807895,2.42495866436914e-20,4.09440798486149e-18,0.186900840806297,0.130958540278357,0.266740330335475
CD4 ET|ZFP57,ZFP57,CD4 ET,Wald ratio,1,-0.453040605297131,0.0623045188503931,3.55800708832209e-13,2.50312387565474e-11,0.635692320626783,0.562616271011246,0.718259935457478
CD4 ET|XXbac-BPG181B23.7,XXbac-BPG181B23.7,CD4 ET,Wald ratio,1,-0.425120383808257,0.120082163532803,0.000399754418445367,0.0111315306594424,0.653691086570501,0.516602569568512,0.827158171161695
CD4 ET|C19orf83,C19orf83,CD4 ET,Wald ratio,1,-0.385030655353996,0.122264225692561,0.00163735724117915,0.0361175596163262,0.680429777069182,0.535438876904177,0.864682602427603
CD4 ET|TNFRSF14,TNFRSF14,CD4 ET,Wald ratio,1,-0.41324660758256,0.122949924812901,0.0007763359236352,0.0200632664890485,0.661499132009751,0.51984298744875,0.841756284521957
CD4 ET|HLA-B,HLA-B,CD4 ET,Wald ratio,1,-0.187946771415247,0.0425897071309117,1.0196576331094e-05,0.00037426853605629,0.828658814394723,0.762294284750413,0.900800969403694
CD4 ET|HLA-A,HLA-A,CD4 ET,Wald ratio,1,-0.359570113470778,0.103689828340026,0.000524840742182836,0.0141409218407986,0.697976312200744,0.569610675467562,0.855270017531639
CD4 ET|PRRT1,PRRT1,CD4 ET,Wald ratio,1,0.691162886335853,0.114842455181987,1.76196341080882e-09,8.74993333027803e-08,1.99603534637234,1.59372122391549,2.49990841822347
CD4 ET|MSH5,MSH5,CD4 ET,Wald ratio,1,0.248009766030223,0.0727371491881798,0.000650412307544813,0.01727913535918,1.28147244703156,1.11120493503172,1.47782967905391
CD4 ET|PSMB9,PSMB9,CD4 ET,Wald ratio,1,0.442307710631422,0.13417590739259,0.000979058438618727,0.0241522273267048,1.55629455514238,1.19640704007893,2.02443872463842
CD4 ET|HCG25,HCG25,CD4 ET,Wald ratio,1,-0.880493071245373,0.104237447045899,2.98899538323182e-17,2.94940089893446e-15,0.414578444567329,0.337969890963935,0.508552067196444
CD4 ET|KISS1R,KISS1R,CD4 ET,Wald ratio,1,0.498398426789068,0.131734738419404,0.000154732514224278,0.00474055501240349,1.64608283626761,1.27150131423198,2.13101526009155
CD4 ET|FKBPL,FKBPL,CD4 ET,Wald ratio,1,-0.813465127740511,0.117511659039435,4.43990703036866e-12,2.72051722715654e-10,0.443319243844871,0.352118335508619,0.558141772649545
CD4 ET|ORMDL3,ORMDL3,CD4 ET,Wald ratio,1,-0.429730576628154,0.0748912141198291,9.57649526076327e-09,4.63453573192862e-07,0.650684380689041,0.561851692477466,0.753562139157677
CD4 ET|HLA-C,HLA-C,CD4 ET,Wald ratio,1,-0.344547966755564,0.0903675161024461,0.000137433907446898,0.00424480824707939,0.708540564979626,0.593529537221607,0.845837823963601
CD4 ET|SLC44A4,SLC44A4,CD4 ET,Wald ratio,1,-0.319263369831552,0.0972679175375727,0.00102960678299772,0.0252353301200538,0.726684137422522,0.60055053375493,0.879309576630911
CD4 ET|HIST1H2BH,HIST1H2BH,CD4 ET,Wald ratio,1,1.36893297977337,0.151326579351722,1.48008011236593e-19,2.12182050825594e-17,3.93115383614461,2.92218868230669,5.28849166277504
CD4 ET|KANSL1-AS1,KANSL1-AS1,CD4 ET,Wald ratio,1,0.121313549295227,0.036006837092318,0.000753919192043068,0.0196848041963685,1.12897884739833,1.05204948122491,1.21153354535078
CD4 ET|BCAS4,BCAS4,CD4 ET,Wald ratio,1,0.48840717260905,0.131730630516858,0.000209215956531975,0.00606726273942726,1.62971829154458,1.25887081023158,2.10981276887847
CD4 ET|BTN3A2,BTN3A2,CD4 ET,Wald ratio,1,-0.612948281996716,0.0912325417427169,1.83570911725963e-11,1.03316428688435e-09,0.541751276672734,0.453044889852082,0.647826412681452
CD4 ET|ZNF391,ZNF391,CD4 ET,Wald ratio,1,-1.03097799460257,0.110103649164312,7.6989204922344e-21,1.49990763846146e-18,0.356657980366823,0.287428499529243,0.442561942074919
