pathway,cell_type,median_LODO_NES,min_LODO_NES,max_LODO_NES,full_NES,full_FDR,direction_concordance,pathway_label
HALLMARK_MTORC1_SIGNALING,CD4_NC,1.25257239343261,1.09311224138721,1.51038425166481,1.25046244567965,0.107573149741824,1,Mtorc1 Signaling
HALLMARK_MTORC1_SIGNALING,CD8_NC,1.01989908065668,0.876675625888678,1.38271710731361,0.990541812005881,0.540401896271138,1,Mtorc1 Signaling
HALLMARK_MYC_TARGETS_V1,CD4_NC,1.4257835805845,1.24259026740342,1.50892110497419,1.42472430183982,0.0151002842181406,1,Myc Targets V1
HALLMARK_MYC_TARGETS_V1,CD8_NC,1.63338468081491,1.48795368164402,1.77431551555313,1.72329700389157,0.000173490937348181,1,Myc Targets V1
HALLMARK_MYC_TARGETS_V2,CD4_NC,-0.931827809370006,-1.12609876245711,-0.901237732892984,-1.01943604689535,0.508322798145807,1,Myc Targets V2
HALLMARK_MYC_TARGETS_V2,CD8_NC,0.829194349452334,0.731234632581753,1.12920786428184,1.01606010256889,0.52636684303351,1,Myc Targets V2
HALLMARK_MYOGENESIS,CD4_NC,1.0071064023061,0.832265212368427,1.11820159093424,0.958368430074479,0.614587348494582,1,Myogenesis
HALLMARK_MYOGENESIS,CD8_NC,-1.09788405341382,-1.28572609046882,-0.890575215016095,-1.0428068992266,0.506492637215529,1,Myogenesis
HALLMARK_NOTCH_SIGNALING,CD4_NC,-1.12332247294086,-1.26730041408424,-1.09025671187742,-1.08653011537288,0.420235546038544,1,Notch Signaling
HALLMARK_NOTCH_SIGNALING,CD8_NC,-1.14702889021691,-1.32682912171798,-0.928783327243188,-1.04279522480505,0.508891438405278,1,Notch Signaling
HALLMARK_OXIDATIVE_PHOSPHORYLATION,CD4_NC,2.33780144457784,2.2112756970979,2.55068994406581,2.36292866546846,5.57826833805346e-14,1,Oxidative Phosphorylation
HALLMARK_OXIDATIVE_PHOSPHORYLATION,CD8_NC,2.36682544916715,2.19834343796042,2.64669317894089,2.42544831645213,1.51475940103668e-16,1,Oxidative Phosphorylation
HALLMARK_P53_PATHWAY,CD4_NC,1.85772711713696,1.65181372020202,2.12001634978568,1.81499401497637,0.000108872131355012,1,P53 Pathway
HALLMARK_P53_PATHWAY,CD8_NC,1.39683767595917,1.3303489237759,1.74633856625566,1.38727250078155,0.0753938814665821,1,P53 Pathway
HALLMARK_PANCREAS_BETA_CELLS,CD4_NC,1.32003038091052,1.08196829903305,1.65892084643235,1.27242806457647,0.222278998467041,1,Pancreas Beta Cells
HALLMARK_PEROXISOME,CD4_NC,0.71018380314115,0.683492329882095,0.96200706040901,0.739531637881307,0.950549450549451,1,Peroxisome
HALLMARK_PEROXISOME,CD8_NC,1.27526208606342,0.928980206324615,1.3162221818586,1.17983759911389,0.317567567567568,1,Peroxisome
HALLMARK_PI3K_AKT_MTOR_SIGNALING,CD4_NC,-1.23392759406906,-1.38331965369894,-1.13256279160644,-1.25282325092993,0.138297872340426,1,Pi3k Akt Mtor Signaling
HALLMARK_PI3K_AKT_MTOR_SIGNALING,CD8_NC,-1.01360736581998,-1.20940019371275,0.783433164326588,-1.01898337760138,0.508891438405278,0.857142857142857,Pi3k Akt Mtor Signaling
HALLMARK_PROTEIN_SECRETION,CD4_NC,-0.772132523716576,-0.970312036931133,0.686558578205034,-0.774320313726703,0.950549450549451,0.857142857142857,Protein Secretion
HALLMARK_PROTEIN_SECRETION,CD8_NC,-0.949528145940766,-1.1228928957757,-0.817434584707706,-1.00200580307548,0.52636684303351,1,Protein Secretion
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,CD4_NC,1.8673152854454,1.67470431184649,1.91025773794523,1.79996067982574,0.00443996924564466,1,Reactive Oxygen Species Pathway
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,CD8_NC,1.79988726797693,1.69382380045336,1.98672362582354,1.85284780429331,0.00544689283206985,1,Reactive Oxygen Species Pathway
HALLMARK_SPERMATOGENESIS,CD4_NC,0.705469938445614,-0.734016726866851,0.818532208982413,0.780381725451605,0.923955870764381,0.857142857142857,Spermatogenesis
HALLMARK_SPERMATOGENESIS,CD8_NC,-0.647049947411545,-0.940019704287075,0.721741082517468,-0.776519005802087,0.864367816091954,0.571428571428571,Spermatogenesis
HALLMARK_TGF_BETA_SIGNALING,CD4_NC,-1.21105670579411,-1.39908908487171,1.10563409388301,-1.27051187390338,0.15765134529148,0.857142857142857,Tgf Beta Signaling
HALLMARK_TGF_BETA_SIGNALING,CD8_NC,-1.21918603702109,-1.45455155636709,1.11799430529067,-1.32437103961891,0.177938392703493,0.857142857142857,Tgf Beta Signaling
HALLMARK_TNFA_SIGNALING_VIA_NFKB,CD4_NC,2.56350001798571,2.42227269654118,2.98131309406353,2.73268748024854,1.7469584457876e-21,1,Tnfa Signaling via Nfkb
HALLMARK_TNFA_SIGNALING_VIA_NFKB,CD8_NC,2.35633468472244,1.93767311058503,2.64965202249348,2.39039111480449,4.28146847074522e-10,1,Tnfa Signaling via Nfkb
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,CD4_NC,0.868768628214177,-1.03261962718193,1.30771423917385,0.956744910125171,0.641395809272397,0.571428571428571,Unfolded Protein Response
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,CD8_NC,-0.879566628049976,-0.923622749429711,0.764120030823071,-0.848384491397732,0.826339869281046,0.857142857142857,Unfolded Protein Response
HALLMARK_UV_RESPONSE_DN,CD4_NC,-1.54703433745241,-1.76505767333383,-1.26663223855634,-1.52720691821192,0.0190622253447467,1,Uv Response Dn
HALLMARK_UV_RESPONSE_DN,CD8_NC,-1.52265874635483,-1.66751674750903,-1.18961073367741,-1.51446500442706,0.0317135880486114,1,Uv Response Dn
HALLMARK_UV_RESPONSE_UP,CD4_NC,1.42587967890609,1.27419798325391,1.85995462505938,1.46659382210144,0.0235922648306276,1,Uv Response Up
HALLMARK_UV_RESPONSE_UP,CD8_NC,1.54034490146588,1.23555619280077,1.83204809978822,1.56592135497567,0.0243389546329513,1,Uv Response Up
HALLMARK_WNT_BETA_CATENIN_SIGNALING,CD4_NC,-2.04247347814413,-2.1439171814665,-1.9709744543883,-1.96021000112084,0.00114781332686427,1,Wnt Beta Catenin Signaling
HALLMARK_WNT_BETA_CATENIN_SIGNALING,CD8_NC,-1.77948899821975,-1.80974677269218,-1.7632592488707,-1.75943730079142,0.0148554072816451,1,Wnt Beta Catenin Signaling
HALLMARK_XENOBIOTIC_METABOLISM,CD4_NC,1.30276859319279,1.23769984569769,1.429872995667,1.30643188800326,0.0974220623501199,1,Xenobiotic Metabolism
HALLMARK_XENOBIOTIC_METABOLISM,CD8_NC,1.2194804734378,1.17400523107599,1.47340550907203,1.41023791746914,0.0959248309735912,1,Xenobiotic Metabolism
